uid,tag,key,time,did,value,metric,last_modify
6736505735,weekly_statistics,update_hlthcenter_records,1762099200,default_did,,0,1763942607
6736505735,weekly_statistics,start_calculate,1762099200,default_did,,0,1762791342
6736505735,weekly_statistics,fitness_report,1762099200,default_did,"{""sport_times"":0,""sport_times_diff"":0,""sport_days"":0,""sport_days_diff"":0,""steps_summary"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":50077},""step_goal_achieve"":5,""calorie_summary"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":2181},""cal_goal_achieve"":2,""rank_percent_summary"":{""1"":0.66,""2"":0.41},""all_fitness_goal_achieved_count"":0,""allFitnessGoalAchivevedDay"":null,""all_fitness_goal_achieved_count_diff"":0,""avg_achieved_fitness_goal_summary"":{""1762099200"":{""1"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":7153},""2"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":311},""3"":{""field_type"":""int_value"",""field_unit"":""1"",""int_value"":6},""4"":{""field_type"":""int_value"",""field_unit"":""min"",""int_value"":10}}},""sleep_report"":{""avg_sleep_score"":67,""max_sleep_score"":82,""avg_sleep_duration"":493,""avg_deep_sleep_duration"":95,""avg_deep_sleep_rate"":19,""sleep_stage"":2,""sleep_evaluation"":3,""week_lastest_bed_time"":1762135140,""week_lastest_bed_time_zone"":1,""week_earliest_wake_up_time"":1762318620,""week_earliest_wake_up_zone"":1},""hlth_status"":{""avg_rhr"":54,""max_hr"":142,""avg_stress"":18,""max_stress"":68},""version"":1}",0,1762791342
6736505735,weekly_statistics,update_hlthcenter_records,1761494400,default_did,,0,1762685249
6736505735,weekly_statistics,start_calculate,1761494400,default_did,,0,1762685249
6736505735,weekly_statistics,fitness_report,1761494400,default_did,"{""sport_times"":0,""sport_times_diff"":0,""sport_days"":0,""sport_days_diff"":0,""steps_summary"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":62394},""step_goal_achieve"":4,""calorie_summary"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":2656},""cal_goal_achieve"":4,""rank_percent_summary"":{""1"":0.81,""2"":0.57},""all_fitness_goal_achieved_count"":2,""allFitnessGoalAchivevedDay"":{""1761523200"":true,""1761696000"":true},""all_fitness_goal_achieved_count_diff"":0,""avg_achieved_fitness_goal_summary"":{""1761494400"":{""1"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":8913},""2"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":379},""3"":{""field_type"":""int_value"",""field_unit"":""1"",""int_value"":8},""4"":{""field_type"":""int_value"",""field_unit"":""min"",""int_value"":20}}},""sleep_report"":{""avg_sleep_score"":60,""max_sleep_score"":62,""avg_sleep_duration"":417,""avg_deep_sleep_duration"":86,""avg_deep_sleep_rate"":22,""sleep_stage"":1,""sleep_evaluation"":3,""week_lastest_bed_time"":1761631620,""week_lastest_bed_time_zone"":1,""week_earliest_wake_up_time"":1762055880,""week_earliest_wake_up_zone"":1},""hlth_status"":{""avg_rhr"":53,""max_hr"":145,""avg_stress"":22,""max_stress"":72},""version"":1}",0,1762685249
6736505735,weekly_statistics,update_hlthcenter_records,1760889600,default_did,,0,1761759760
6736505735,weekly_statistics,start_calculate,1760889600,default_did,,0,1761759760
6736505735,weekly_statistics,fitness_report,1760889600,default_did,"{""sport_times"":0,""sport_times_diff"":0,""sport_days"":0,""sport_days_diff"":0,""steps_summary"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":77581},""step_goal_achieve"":6,""calorie_summary"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":3443},""cal_goal_achieve"":2,""rank_percent_summary"":{""1"":0.9,""2"":0.69},""all_fitness_goal_achieved_count"":0,""allFitnessGoalAchivevedDay"":null,""all_fitness_goal_achieved_count_diff"":0,""avg_achieved_fitness_goal_summary"":{""1760889600"":{""1"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":11083},""2"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":491},""3"":{""field_type"":""int_value"",""field_unit"":""1"",""int_value"":6},""4"":{""field_type"":""int_value"",""field_unit"":""min"",""int_value"":15}}},""sleep_report"":{""avg_sleep_score"":52,""max_sleep_score"":66,""avg_sleep_duration"":307,""avg_deep_sleep_duration"":62,""avg_deep_sleep_rate"":30,""sleep_stage"":1,""sleep_evaluation"":6,""week_lastest_bed_time"":1761192240,""week_lastest_bed_time_zone"":1,""week_earliest_wake_up_time"":1761364740,""week_earliest_wake_up_zone"":1},""hlth_status"":{""avg_rhr"":57,""max_hr"":147,""avg_stress"":22,""max_stress"":59},""version"":1}",0,1761759760
6736505735,weekly_statistics,update_hlthcenter_records,1760284800,default_did,,0,1761759760
