variable,n,mean,std,min,max,skewness,kurtosis,shapiro_stat,shapiro_p,normal_dist
steps,95,7785.994736842105,3183.501167292523,1119.0,15959.75,0.15752777300364645,-0.1390187929549671,0.9893669274204294,0.6489808917581499,Yes
calories,95,309.09473684210525,124.4703736162734,53.0,623.0,0.1373501201065017,-0.09774858097722694,0.9874435675777369,0.5058933313146146,Yes
distance,95,4658.652631578947,1903.5348851288688,667.0,9434.0,0.14320875019488485,-0.20619066794633278,0.989711223439312,0.6755835264190428,Yes
total_duration,95,391.41052631578947,170.98752565778332,45.0,819.0,0.35213677124521114,-0.23659308762493625,0.9839719029728077,0.29971133116149495,Yes
sleep_score,95,59.36842105263158,12.23668028540082,39.0,83.0,-0.19392176424683127,-1.068062727453963,0.9461192243507555,0.0006699662587215435,No
avg_stress,95,27.5,14.713035181610868,5.0,63.0,0.6037256172655595,-0.5166895003445711,0.9449432910290533,0.0005668682792076233,No
